step,description,rows_before,rows_after,rows_dropped,detail,run_timestamp
1,Normalise column names to snake_case,54294,54294,0,10 columns renamed,2026-04-22T12:17:44
2,Convert funding columns to float,54294,54294,0,Vectorised numeric conversion for 14 columns,2026-04-22T12:17:44
3,Parse date columns to datetime64,54294,54294,0,"Columns: ['founded_at', 'first_funding_at', 'last_funding_at']",2026-04-22T12:17:44
4,Remove rows: first_funding_at < founded_at,54294,51555,2739,2739 temporally inconsistent records removed,2026-04-22T12:17:44
5,Drop rows with missing/invalid status,51555,45433,6122,"Valid values: ['acquired', 'closed', 'ipo', 'operating']",2026-04-22T12:17:44
6,Remove duplicate startup rows,45433,45359,74,"Unit-of-analysis keys enforced: ['permalink', 'name', 'country_code', 'founded_year']",2026-04-22T12:17:44
7,Filter founded_year to 1990–2014,45359,33897,11462,11462 records outside window removed,2026-04-22T12:17:44
8,Filter extreme funding outliers at 99th percentile,33897,33613,284,"Upper threshold: 191,000,000 USD",2026-04-22T12:17:44
9,Engineer 10 derived features,33613,33613,0,"is_closed, is_usa, primary_category, reached_series_a, days_to_first_funding, funding_duration_days, avg_funding_per_round, founding_decade, has_seed, funding_tier",2026-04-22T12:17:44
10,Validate analytical assumptions,33613,33613,0,"Assertions passed for funding, rounds, dates, founded year, and startup uniqueness",2026-04-22T12:17:44
11,Select and reorder final columns,33613,33613,0,47 ordered columns selected for the final export,2026-04-22T12:17:44
